id;name;crn;description;email;street_adress;city;country;ceo_name
1;Isle;benchmark;Loan payment;Esther47@yahoo.com;drive withdrawal Frozen;Robertsberg;Cote d'Ivoire;reboot invoice
2;Analyst schemas Electronics;Research Automotive explicit;Steel JBOD Greece;Althea_Jaskolski@hotmail.com;Central standardization;Binshaven;Togo;Peso Haven
3;Awesome Franc;Borders;China;Hunter39@hotmail.com;Account;West Fred;Guam;Concrete Synergized
4;Central Investment Extensions;Car;Bacon architectures;Lukas.Schuster@hotmail.com;definition Computer;Lake Koryville;Hungary;Bolivia
5;Fantastic AI;Azerbaijanian plug-and-play firewall;redundant;Emmy_Torp@yahoo.com;Central solution;Shemarberg;Cameroon;bricks-and-clicks unleash
6;optical Account;bypassing Central mobile;Isle interface;Viola.Carter49@gmail.com;Assimilated blue;Johnathanfort;French Guiana;harness Avon primary
7;Refined Personal;network Soap invoice;Riel Shoes Dale;Albertha_Schmitt2@yahoo.com;Chips;Lake Jazminton;Yemen;responsive
8;Generic content-based;generate Account;copying Uzbekistan purple;Alex22@gmail.com;web;O'Konton;Guinea-Bissau;Object-based Upgradable azure
9;Guadeloupe;input success;synergies;Ashly_Frami@yahoo.com;bottom-line Montana;Port Jamison;Sierra Leone;Buckinghamshire Belize
10;National Ergonomic Integrated;bypassing ROI;Intranet Iowa;Rita70@hotmail.com;Refined;Vista;Luxembourg;Administrator
